group,advertiser,landing,first_day,last_day,days_live,total_spend,total_hvu,total_cphq
组1 Library,HZM,scene/031937,2026-04-05,2026-04-16,12,115.21,29,3.97
组2 Tonight,HZM,scene/853762,2026-04-05,2026-04-15,11,121.88,30,4.06
组3 Elevator,HNN,scene/767297,2026-04-06,2026-04-07,2,21.26,2,10.63
组4 Viennese Oyster,CHJ,/multisensory/power-dynamics/3923-architecture-of-depth-mastering-viennese-oyster-position,2026-04-06,2026-05-08,33,325.77,218,1.49
组5 30 Positions,CHJ,/multisensory/most-positions/4690-30-adventurous-sex-positions-to-explore-with-your-partner,2026-04-07,2026-05-08,32,465.77,355,1.31
组6 冰块,HNN,scene/903553,2026-04-08,2026-04-15,8,68.78,10,6.88
组7 The best intimacy,CHJ,/multisensory/kink-fetish/4689-mastering-anilingus-sensual-guide-to-rimming-pleasure,2026-04-08,2026-05-08,31,322.29,198,1.63
组8 山间,HNN,scene/680577,2026-04-08,2026-04-30,23,169.52,9,18.84
组9 金项圈,HNN,scene/578113,2026-04-09,2026-05-07,14,97.67,13,7.51
组10 dark fantasy,CHJ,scene/411265,2026-04-09,2026-04-12,4,34.14,3,11.38
组11 Lover Tonight,HZM,scene/869441,2026-04-09,2026-04-12,4,36.65,3,12.22
组12 浴室,HNN,scene/888321,2026-04-10,2026-04-15,6,60.81,11,5.53
组13 college secrecy,CHJ,scene/866241,2026-04-10,2026-04-30,4,28.0,4,7.0
组14 女性专栏,HNN,/multisensory/womens-sexual-health/3186-how-to-choose-right-sex-toy-for-women,2026-04-12,2026-05-04,4,23.41,3,7.8
组15 Power Shift,HZM,scene/922306,2026-04-13,2026-04-24,10,83.26,4,20.81
组16 敲门,HNN,scene/531778,2026-04-13,2026-04-30,7,51.04,3,17.01
组17 18 Sensual,CHJ,/multisensory/kink-fetish/4686-18-sensual-couch-sex-ideas-to-make-intimate-moments-feel-closer?page=1,2026-04-13,2026-05-08,26,405.0,633,0.64
组18 红玫瑰,HNN,scene/613826,2026-04-14,2026-05-05,12,88.36,12,7.36
组19 Top Predator's,HZM,scene/922306,2026-04-14,2026-04-23,7,61.49,4,15.37
组20 A Softer,CHJ,/multisensory/solo-pleasure/4763-pillow-humping-essentials-guide-to-solo-pleasure,2026-04-14,2026-05-08,23,272.41,152,1.79
组21 职场,HNN,/exp-app/scene/1977563229444947970,2026-04-15,2026-04-20,6,45.75,12,3.81
组22 Voyeurism,CHJ,/multisensory/voyeurism/735-seen-body-why-is-voyeurism,2026-04-15,2026-04-27,6,64.91,5,12.98
组23 工作室,HNN,/exp-app/scene/1972149814470684674,2026-04-15,2026-04-22,8,55.0,17,3.24
组24 Dom,CHJ,/multisensory/power-dynamics/4724-understanding-dom-and-sub,2026-04-15,2026-05-07,6,65.83,3,21.94
组25 强迫休息,HNN,/exp-app/scene/2013638045763465217,2026-04-16,2026-04-28,9,105.05,10,10.5
组26 Surrender,HZM,/exp-app/scene/2034147121168449537,2026-04-16,2026-04-27,11,81.67,11,7.42
组27 performance,CHJ,/multisensory/sensory-immersion/4312-architecture-of-arousal,2026-04-16,2026-05-08,23,196.59,102,1.93
组28 牛角,HNN,/exp-app/scene/1968161107381112833,2026-04-17,2026-04-28,8,44.98,7,6.43
组29 性爱疗愈,HZM,/multisensory/sexual-wellness/1474-can-sex-truly-alleviate-pain,2026-04-18,2026-05-03,11,160.8,20,8.04
组30 流汗男,HNN,/exp-app/scene/1967788094903078914,2026-04-17,2026-05-03,9,80.76,1,80.76
组31 天使,HZM,/exp-app/scene/1968879137365995521,2026-04-18,2026-04-21,4,48.67,3,16.22
组32 confidence,CHJ,/multisensory/power-dynamics/4314-art-of-instrument-mastering-sensual-blowjob-power-dynamics?page=2,2026-04-17,2026-05-07,18,139.03,67,2.08
组33 黑男,HNN,/exp-app/scene/2046070030933757953,2026-04-20,2026-05-01,4,6.4,4,1.6
组34 银发男,HNN,/ja/exp-app/scene/2014393955091804162,2026-04-21,2026-05-07,16,99.52,55,1.81
组35 15 Ideas,CHJ,/multisensory/forbidden-fruit/4424-architecture-of-surrender-15-ideas-for-safe-sensual-self-bondage?page=2,2026-04-20,2026-05-07,14,72.01,55,1.31
组36 女性高潮,HZM,/multisensory/womens-sexual-health/1541-how-to-tell-if-woman-has-truly-reached-orgasm-women-s-sexual?page=4,2026-04-21,2026-05-05,14,155.76,65,2.4
组37 胸部高潮,HZM,/multisensory/kink-fetish/4687-mastering-nipple-play-how-to-build-sensual-pleasure-deeper-arousal?page=1,2026-04-21,2026-04-30,9,208.96,38,5.5
组38 CRAVE AI,CHJ,/ai-sex-toys,2026-04-21,2026-05-08,16,66.02,53,1.25
组39 解锁高潮,HNN,/zh/multisensory/power-dynamics/2746-unlocking-thrill-of-ruined-orgasms-guide-to-orgasm-control-and?page=6,2026-04-21,2026-05-08,12,59.09,32,1.85
组40 举杯,HNN,/exp-app/scene/举杯,2026-04-23,2026-04-29,7,49.46,1,49.46
组41 Most positions,CHJ,/multisensory/most-positions,2026-04-22,2026-05-08,17,152.25,112,1.36
组42 解说,HNN,https://www.creviatech.com/exp-app/scene/2037410140233203714?from=theater-more-stories,2026-04-24,2026-05-01,8,49.93,19,2.63
组43 hands-free,CHJ,https://www.creviatech.com/multisensory/roleplay/4764-hands-free-orgasms-exploring-deep-pleasure-body-awareness-and?page=1,2026-04-24,2026-05-05,12,64.21,49,1.31
组44 泳池,HNN,/exp-app/scene/2047399614116618242?from=theater-more-stories,2026-04-24,2026-05-01,8,61.03,1,61.03
组45 11种方式,HNN,/multisensory/forbidden-fruit/4725-11-gentle-femdom-ideas-to-deepen-trust-pleasure-and-intimate?page=1,2026-04-27,2026-05-07,10,74.44,8,9.3
组46 五个产品合集,HZM,/ai-sex-toys,2026-04-26,2026-05-07,6,3.7,0,
组47 直棒（🚫违规删除4/30）,HZM,/ai-sex-toys/1181025-shenyong,2026-04-26,2026-05-01,6,22.91,11,2.08
组48 弯棒,HZM,/ai-sex-toys/1181026-twin-pact,2026-04-26,2026-05-07,7,24.61,26,0.95
组49 肛塞,HZM,/ai-sex-toys/1181029-trembling-secret,2026-04-27,2026-05-08,8,37.39,23,1.63
组50 蘑菇,HZM,/ai-sex-toys/1181028-that-first-flutter,2026-04-26,2026-05-08,8,27.15,19,1.43
组51 八爪鱼,HZM,/ai-sex-toys/1181027-intimate-connection,2026-04-26,2026-05-08,8,25.42,9,2.82
组52 掌握眼神,HNN,https://www.creviatech.com/multisensory/sensory-immersion/4494-architecture-of-gaze-mastering-eye-contact-for-deep-intimacy?page=2,2026-04-28,2026-05-05,8,63.36,10,6.34
组53 （Piledriver Position）,CHJ,https://www.creviatech.com/multisensory/power-dynamics/3925-apex-of-depth-mastering-piledriver-position-power-dynamics?page=3,2026-04-28,2026-04-30,3,16.54,11,1.5
组54  樱花,HNN,https://www.creviatech.com/ja/exp-app/scene/2039221547477065729?from=theater-more-stories,2026-04-30,2026-05-08,9,69.92,0,
组55（vulvas vary naturally）,CHJ,https://www.creviatech.com/multisensory/forbidden-fruit/4422-anatomy-of-normal-embracing-endless-diversity-of-vulva-forbidden?page=3,2026-04-29,2026-04-30,2,8.41,6,1.4
组56（蘑菇）,HZM,https://www.creviatech.com/ai-sex-toys/1181028-that-first-flutter,2026-05-06,2026-05-08,3,52.62,5,10.52
组57（八爪鱼）,HZM,https://www.creviatech.com/ai-sex-toys/1181027-intimate-connection,2026-05-06,2026-05-08,3,54.91,1,54.91
组58（弯棒）,HNN,https://www.creviatech.com/ai-sex-toys/1181026-twin-pact,2026-05-06,2026-05-08,3,27.95,12,2.33
组59（肛塞,HNN,https://www.creviatech.com/ai-sex-toys/1181029-trembling-secret,2026-05-06,2026-05-08,3,24.96,3,8.32
组60（直棒）,HZM,https://www.creviatech.com/ai-sex-toys/1181025-shenyong,,,0,0.0,0,
组61（恶霸）,HNN,/ja/exp-app/scene/1967491630842826754?from=theater-more-stories,2026-05-06,2026-05-08,3,21.24,0,
组62,HNN,https://www.creviatech.com/exp-app/scene/2023384913003253761?from=search&q=Coach%27s+Private+Session%3A+Part+Two&utm_source=facebook&utm_medium=paid&utm_campaign=260507_hnn_facebook_741e61fb&utm_content=HnN219,2026-05-07,2026-05-08,2,18.6,2,9.3
组63,HNN,https://www.creviatech.com/exp-app/scene/2049760273118638081?from=theater-more-stories&utm_source=facebook&utm_medium=paid&utm_campaign=260507_hnn_facebook_11c5ec0d&utm_content=HnN219,2026-05-07,2026-05-08,2,17.11,1,17.11
组64,HZM,https://www.creviatech.com/exp-app/scene/2049744772917211137?from=theater-more-stories&utm_source=facebook&utm_medium=paid&utm_campaign=260508_hzm_facebook_ef4cb460&utm_content=Mm0818,2026-05-08,2026-05-08,1,18.83,0,
组65,HZM,https://www.creviatech.com/exp-app/scene/2049760273118638081?from=theater-more-stories&utm_source=facebook&utm_medium=paid&utm_campaign=260508_hzm_facebook_5886c2d8&utm_content=Mm0818,2026-05-08,2026-05-08,1,15.4,0,
组66,HNN,https://www.creviatech.com/exp-app/scene/2046083147751297026?from=search&q=sunlit&utm_source=facebook&utm_medium=paid&utm_campaign=260508_hnn_facebook_812309e8&utm_content=HnN219,2026-05-08,2026-05-08,1,5.43,0,
